year,bank_group,gross_npa_cr,gross_adv_cr,gnpa_ratio,credit_growth
2004,Foreign,3038.84,62602.5,4.8541831396509725,
2005,Foreign,2233.0,73169.3,3.051826380736183,16.879198115091263
2006,Foreign,2037.0,95905.2,2.123972422767483,31.073004661791217
2007,Foreign,2399.0,124677.0,1.9241720606046022,30.00025024711903
2008,Foreign,3084.0,160658.0,1.9196056218800186,28.8593726188471
2009,Foreign,7248.694,166011.627,4.366377301994636,3.3323127388614315
2010,Foreign,7110.53,163213.03,4.356594568460618,-1.6857837312804658
2011,Foreign,5044.54,192971.87,2.6141323085069343,18.233127587913778
2012,Foreign,6268.9,226777.3,2.7643419336944217,17.51832015723327
2013,Foreign,7925.56,260404.945,3.0435520339293096,14.828488124693262
2014,Foreign,11567.76,299575.49,3.861383987054482,15.042166345957831
2015,Foreign,10757.79,336609.0,3.1959305900911743,12.36199596969698
2016,Foreign,15797.9931,376504.3371,4.195965768066048,11.852130246071857
2017,Foreign,13621.046,343611.182,3.964086942898151,-8.736461139692942
2018,Foreign,13829.655,363304.684,3.806627222015117,5.73133327191897
2019,Foreign,12182.59,406881.31,2.9941385117935253,11.99451257281341
2020,Foreign,10208.35,436065.65,2.34101218474787,7.172691220444616
2021,Foreign,10199.06,420616.71,2.4247871654932585,-3.5428014107508843
2022,Foreign,13786.18,476084.76,2.895740666010817,13.187314883424396
2023,Foreign,9544.5,503939.38,1.8939778034413584,5.850769094141972
2024,Foreign,6523.1025,546120.896465,1.194442941521476,8.370355272691722
2025,Foreign,5321.3997,618379.009868,0.8605401566162333,13.231157033309193
2018,PSB,895601.297,6141698.163,14.582307258201874,
2019,PSB,739541.0,6382460.85,11.587082433885984,3.920132194878101
2020,PSB,678317.01,6615111.59,10.254052418789204,3.6451573377062063
2021,PSB,616615.55,6770362.52,9.107570653395383,2.3469132438323603
2022,PSB,540958.21,7433006.34,7.277784859255212,9.787420068608089
2023,PSB,428197.37,8610114.69,4.973190084184582,15.836234978914332
2024,PSB,339540.873,9773487.6598,3.474101414140919,13.511701198953485
2025,PSB,283650.4347,10977761.6721,2.583864025950737,12.321845120379926
2004,Private,10206.42,174652.39,5.843847885505602,
2005,Private,8564.5,223663.3,3.8291932561130957,28.06197498929157
2006,Private,7598.81,315101.06,2.4115469494136264,40.88187914601993
2007,Private,9145.0,418241.0,2.186538383372266,32.73233673031757
2008,Private,12922.0,523699.0,2.4674479042350663,25.2146489703305
2009,Private,16787.435,575166.759,2.918707442201124,9.82773673426911
2010,Private,17306.71,579534.91,2.9863101775870584,0.7594581800232536
2011,Private,17904.93,723205.44,2.475773688870482,24.790660151948373
2012,Private,18210.2,871641.3,2.089185081064883,20.524715632670045
2013,Private,20381.672,1151246.34,1.7704005903723434,32.07799355078747
2014,Private,24183.5,1360252.77,1.7778680943248513,18.154796479092372
2015,Private,33690.35,1607339.36,2.0960321658520202,18.164755510845243
2016,Private,55853.1204,1972658.8165,2.83136241973651,22.728209461628545
2017,Private,91914.647,2266720.686,4.054961317805699,14.906879336678248
2018,Private,125862.887,2725890.72,4.617312281689707,20.257018733537958
2019,Private,180872.43,3442346.66,5.254335134277266,26.28336986304425
2020,Private,205847.82,3776231.27,5.451144415739135,9.699331385758803
2021,Private,202266.15,4097039.53,4.936885488141727,8.49546113736832
2022,Private,180742.11,4700911.86,3.8448308622404155,14.739236113740905
2023,Private,125211.82,5462976.19,2.292007426816187,16.21098954193112
2024,Private,129046.671036,6959146.278477,1.8543462929513488,27.387453952586238
2025,Private,132646.459491,7574750.01381,1.7511661671892003,8.84596631108212
2018,SFB,893.349,35315.993,2.5295876573539924,
2019,SFB,1012.84,55396.43,1.8283488665244312,56.859329992505096
2020,SFB,1709.34,91509.15,1.867944353105673,65.18961600955151
2021,SFB,5970.66,111589.22,5.350570601712244,21.943237370252056
2022,SFB,6910.65,140002.93,4.936075266424781,25.462773196192234
2023,SFB,8896.64,184807.57,4.814001937258306,32.00264451608263
2024,SFB,5590.3522,229834.9949,2.4323329014505966,24.364491616874773
2025,SFB,9988.687,278574.2475,3.5856462288388666,21.20619299998514
